"","mean","se_mean","sd","0.5%","2.5%","25%","50%","75%","97.5%","99.5%","n_eff","Rhat"
"log_lambda[68]",-2.85829502022558,0.000177804532212992,0.035798771785127,-2.95087775322456,-2.92951501178916,-2.8823097247589,-2.85814834343422,-2.8340851926255,-2.7889615941173,-2.76727405699795,40536.9061743851,0.999999591723221
"log_lambda[69]",2.62222518178142,0.000150650371140059,0.0301228679054598,2.54308304163006,2.56302322808635,2.60204055340957,2.62218431360766,2.6426219132078,2.68043970190813,2.69856809099295,39980.86838893,0.999993951824975
"log_lambda[70]",0.618040299374908,0.000154720955951015,0.0310069098553274,0.538262971354117,0.556787168327637,0.597162152401751,0.618227686984021,0.639096324889829,0.678127986347337,0.696312805678357,40162.3108513652,1.00000453227463
"log_lambda[71]",-0.769755713065092,0.000173568866124744,0.0347379436189774,-0.859106606623682,-0.838057985654106,-0.793320280381827,-0.769602276742242,-0.746105413331764,-0.702578755703487,-0.681248354248143,40055.7215339604,0.999961962993651
"log_lambda[72]",-2.7739405954716,0.000177218387729808,0.0354953954572701,-2.86541161704736,-2.84442934475572,-2.79791000637003,-2.77365323051943,-2.74980702500875,-2.70522492267601,-2.68422075345481,40116.8177732867,0.999977844188465
"log_lambda[73]",4.86349911930733,3.83241398589056e-05,0.00758323677409904,4.84390467621438,4.84860077539233,4.85843776921352,4.86349025056824,4.86860239932284,4.87825934236855,4.88291589009692,39152.9418940593,0.999950053131947
"log_lambda[74]",2.85931423690083,5.18581238931128e-05,0.0104333851853592,2.83236151843707,2.83877356519455,2.85228397884232,2.85932462813687,2.86639052061018,2.87964342727215,2.88603965182985,40477.7981608295,0.999928298899446
"log_lambda[75]",2.33028995960441,9.61387841189077e-05,0.0190820796838469,2.28081569172183,2.29272531832434,2.3175407292563,2.33029502615116,2.34322415401299,2.36781139824516,2.37921766125729,39396.1842256988,0.99996206585421
"log_lambda[76]",0.326105077197902,0.000101418450268785,0.0203507969157813,0.273975530493984,0.28593471733183,0.312504568010068,0.32613081834827,0.339810406344675,0.365886504040527,0.378619218836607,40265.1110148755,0.999971023172954
"log_lambda[77]",5.8066252792049,3.27749335144107e-05,0.00642868858354852,5.78995653347913,5.79404232469005,5.80231625145433,5.80664138730286,5.81094865427011,5.81929097381201,5.82343889778461,38473.4505031502,0.999941854661375
"log_lambda[78]",3.80244039679839,4.82443106088162e-05,0.00964507774436342,3.77751393593412,3.78355435274928,3.79596121266134,3.80246242899909,3.80892540020071,3.82135396951923,3.82711993460954,39968.6293764607,0.999959060503761
"log_lambda[79]",2.41464438435839,9.33582759133647e-05,0.0183109260061731,2.36660255954523,2.37826614660973,2.40244955927897,2.41485763230777,2.42691887482334,2.45055146454787,2.46160057654907,38469.3607557503,0.999925360403595
"log_lambda[80]",0.41045950195188,9.97197419853766e-05,0.019650612785871,0.359307049532906,0.371234277370398,0.397301501023484,0.410544459413109,0.423676923206503,0.448699680177324,0.460694756205457,38832.0129387076,0.999952631524493
"log_lambda[81]",9.50062527297153,2.71516480294078e-05,0.00541421310624254,9.48660899587394,9.48992557872831,9.49701684949344,9.50063653470368,9.50428119443359,9.51123709907479,9.51446422104874,39762.9229164648,0.99997271317669
"log_lambda[82]",7.49644039056502,4.51645697730592e-05,0.00901126035305571,7.47335206231118,7.47870341192188,7.49036458336737,7.49647974170904,7.50254330253203,7.51410885624469,7.51984669855397,39808.4547442602,0.999962757516154
"log_lambda[83]",6.9674161132686,9.14901527654322e-05,0.018313084875912,6.92039591169498,6.93115820362635,6.95509958294719,6.96750453623639,6.97976104429503,7.00316909205155,7.01485761310218,40065.8454060262,0.999977685494762
"log_lambda[84]",4.9632312308621,9.76831227266043e-05,0.0196452872428928,4.91267965348489,4.92480224312137,4.95006006723927,4.96333921134263,4.97647105492344,5.00156642075105,5.01353332356167,40446.1974002049,0.999992323316625
"log_lambda[85]",10.4437514328691,1.81658229502705e-05,0.00362978398818694,10.4343589340594,10.4366640514139,10.4413057083285,10.4437498805492,10.4461943554833,10.4508664099074,10.4529892755231,39925.5959043909,1.00000561910215
"log_lambda[86]",8.43956655046258,4.14511051129823e-05,0.00808788493539482,8.41887546587513,8.4237025557125,8.43409690691105,8.43958478586285,8.44503290005155,8.45545694625679,8.46013397446939,38071.2994846074,1.00002105843999
"log_lambda[87]",7.05177053802258,8.78897358317427e-05,0.0174917255932879,7.00548945145692,7.01703072525845,7.04013788244207,7.05184452240563,7.06354601254763,7.08618349399276,7.09661931041711,39608.5544708222,0.999916599906729
"log_lambda[88]",5.04758565561608,9.51710173451528e-05,0.0189038646584313,4.99832710774886,5.01013542108601,5.03504651240948,5.04772261273691,5.06020887492288,5.08475403023961,5.09583329681465,39454.0667546827,0.999955019748769
"log_lambda[89]",4.79047158094061,0.000155722499632177,0.03161773394556,4.70838226189467,4.72841854134074,4.76905058599534,4.79072542107081,4.81187284919778,4.85148554400907,4.87090667418296,41224.8181608525,0.999999408657416
"log_lambda[90]",2.7862866985341,0.000160559411042298,0.0324627925527418,2.7021167241326,2.72286425446114,2.76421752941274,2.78656609755325,2.80828802775466,2.84927175249516,2.86953117677574,40878.9959323799,1.00000032034084
"log_lambda[91]",2.25726242123768,0.000179239532861868,0.0360930871240082,2.16343624519505,2.18640894684098,2.2328944304218,2.25775659182941,2.28187515130975,2.32672397389766,2.34780962046237,40549.0284420537,1.00001852234241
"log_lambda[92]",0.253077538831176,0.000182707016672548,0.0368176840961521,0.156740856582373,0.181289801907184,0.227990712334472,0.253473361778024,0.278105311458704,0.323960446210849,0.34632667669663,40607.1473616875,1.00002346210027
